sr,temp,humidity,cases,status,date
1514,34,70,0,very low,2005-01-06
1515,25,51,593,high,2005-09-15
1516,28,55,233,low,2004-12-31
1517,39,38,348,low,2005-12-02
1518,30,75,446,medium,2005-10-27
1519,38,35,272,low,2005-03-18
1520,25,72,277,low,2004-04-13
1521,40,66,60,very low,2005-03-08
1522,40,67,150,very low,2004-04-28
1523,24,41,168,low,2004-07-27
1524,21,70,478,high,2004-03-28
1525,39,51,279,low,2004-09-21
1526,37,58,119,very low,2004-12-11
1527,37,60,101,very low,2004-01-28
1528,29,41,151,low,2004-01-02
1529,40,37,329,low,2005-08-07
1530,20,38,244,low,2005-11-08
1531,26,36,54,low,2005-11-05
1532,32,67,122,very low,2005-06-17
1533,25,66,0,low,2004-05-21
1534,21,58,561,very high,2005-12-04
1535,32,75,138,very low,2005-05-08
1536,31,42,94,low,2004-06-28
1537,39,38,26,very low,2004-11-13
1538,39,64,281,low,2004-08-31
1539,27,42,254,low,2004-01-24
1540,30,75,0,low,2004-03-21
1541,32,51,237,low,2004-03-31
1542,38,35,157,very low,2005-09-12
1543,22,58,337,low,2005-02-10
1544,31,68,367,very high,2004-12-26
1545,37,72,38,very low,2004-01-24
1546,23,49,464,high,2005-11-06
1547,22,56,216,low,2004-01-18
1548,20,42,458,high,2005-01-19
1549,22,73,549,very high,2005-10-27
1550,26,70,299,low,2004-07-04
1551,35,64,595,high,2004-09-07
1552,28,72,162,low,2005-02-18
1553,34,67,241,low,2004-06-26
1554,38,64,340,low,2004-04-03
1555,28,50,310,low,2004-06-19
1556,32,67,4,very low,2004-06-03
1557,29,62,409,medium,2005-06-01
1558,26,56,497,high,2004-08-05
1559,38,65,360,low,2005-09-22
1560,39,47,377,low,2004-11-06
1561,40,62,61,very low,2005-10-16
1562,20,75,516,very high,2004-08-04
1563,37,75,79,very low,2004-10-04
1564,33,71,444,medium,2004-09-05
1565,31,46,594,high,2005-09-22
1566,39,74,3,very low,2005-02-16
1567,39,66,0,very low,2005-10-27
1568,20,43,527,very high,2004-02-15
1569,27,43,461,high,2004-11-21
1570,23,52,303,low,2004-06-18
1571,25,41,126,low,2005-02-19
1572,31,68,233,low,2004-10-13
1573,39,45,431,medium,2005-03-13
1574,31,36,114,low,2005-09-18
1575,25,51,372,low,2004-10-21
1576,40,40,467,medium,2005-06-03
1577,28,48,453,high,2004-11-05
1578,24,58,72,low,2004-09-06
1579,33,68,121,very low,2004-02-10
1580,21,75,491,high,2004-08-10
1581,28,46,562,high,2005-07-06
1582,33,74,511,high,2004-02-09
1583,26,42,0,low,2005-09-18
1584,23,46,58,low,2004-07-11
1585,33,42,250,low,2005-02-09
1586,25,54,412,high,2004-12-23
1587,31,73,326,very high,2004-10-11
1588,31,47,176,low,2004-05-22
1589,25,36,524,high,2005-08-17
1590,29,68,583,high,2004-06-09
1591,21,57,47,low,2004-10-11
1592,40,35,406,medium,2005-06-05
1593,24,57,576,very high,2005-11-05
1594,21,37,62,low,2005-02-15
1595,21,63,400,low,2004-02-23
1596,35,47,293,low,2005-08-14
1597,33,39,203,low,2005-11-17
1598,32,40,105,very low,2005-01-12
1599,28,40,0,low,2005-12-11
1600,37,65,0,very low,2005-11-11
1601,27,44,96,low,2005-11-11
1602,23,50,307,low,2005-08-26
1603,21,62,498,high,2005-02-11
1604,29,43,345,very high,2005-02-15
1605,25,63,444,high,2004-06-14
1606,23,51,160,low,2005-01-31
1607,21,49,474,high,2004-11-20
1608,34,58,0,very low,2005-01-15
1609,24,59,420,high,2005-03-12
1610,38,44,407,medium,2004-02-02
1611,26,70,360,low,2004-10-02
1612,27,47,574,high,2005-11-23
1613,27,48,442,high,2004-06-07
1614,28,63,534,high,2005-12-11
1615,25,74,16,low,2005-08-26
1616,25,54,194,low,2005-08-30
1617,40,47,345,low,2005-06-19
1618,30,44,265,low,2005-07-22
1619,30,58,192,low,2005-05-18
1620,21,59,236,low,2005-04-11
1621,35,70,100,very low,2004-03-27
1622,29,57,487,medium,2005-07-07
1623,27,61,0,low,2005-05-08
1624,32,73,13,very low,2004-05-05
1625,22,35,356,low,2004-10-29
1626,30,62,331,very high,2005-05-10
1627,25,49,525,high,2005-12-10
1628,31,68,3,low,2004-10-29
1629,38,62,584,high,2004-09-20
1630,22,62,350,low,2004-04-23
1631,24,55,591,very high,2005-01-04
1632,22,42,105,low,2005-07-13
1633,30,51,186,low,2005-09-18
1634,22,46,534,very high,2005-06-22
1635,34,44,494,medium,2005-10-04
1636,40,45,123,very low,2004-06-05
1637,35,47,325,low,2004-12-12
1638,21,58,227,low,2004-09-22
1639,21,42,42,low,2005-02-14
1640,25,41,124,low,2004-01-24
1641,32,66,500,high,2004-10-11
1642,40,69,496,medium,2004-10-24
1643,27,54,245,low,2004-06-13
1644,39,58,504,high,2005-05-18
1645,34,73,465,medium,2005-10-06
1646,28,53,236,low,2005-03-20
1647,23,54,35,low,2004-02-11
1648,26,59,422,high,2005-07-14
1649,33,70,92,very low,2005-01-07
1650,22,59,181,low,2004-09-24
1651,25,37,554,high,2005-04-13
1652,26,37,521,high,2004-05-05
1653,39,70,0,very low,2005-03-24
1654,26,46,416,high,2005-05-13
1655,25,73,481,high,2005-07-19
1656,29,67,317,very high,2005-01-27
1657,20,36,390,low,2004-03-20
1658,26,64,108,low,2005-08-21
1659,24,36,0,low,2005-06-19
1660,22,36,33,low,2005-02-21
1661,20,35,117,low,2005-05-10
1662,29,69,143,low,2004-04-07
1663,23,55,146,low,2004-09-26
1664,21,55,475,high,2005-04-24
1665,21,36,20,low,2004-04-05
1666,36,64,177,very low,2004-10-18
1667,34,43,312,low,2005-07-31
1668,39,73,334,low,2004-03-28
1669,29,56,341,very high,2004-03-15
1670,26,73,421,high,2004-04-12
1671,32,74,0,very low,2005-06-26
1672,35,72,339,low,2004-06-15
1673,38,72,0,very low,2004-09-14
1674,23,63,279,low,2005-01-26
1675,39,40,537,high,2005-01-27
1676,34,40,501,high,2004-04-13
1677,26,36,524,high,2004-08-06
1678,39,48,215,low,2004-06-22
1679,23,68,517,very high,2005-03-31
1680,28,54,78,low,2004-06-25
1681,25,46,493,high,2005-05-20
1682,25,49,43,low,2005-01-23
1683,40,51,82,very low,2004-10-16
1684,29,71,345,very high,2005-04-29
1685,20,69,508,very high,2005-07-28
1686,38,63,449,medium,2004-06-30
1687,33,45,441,medium,2005-07-09
1688,39,37,0,very low,2004-12-20
1689,22,39,543,very high,2004-11-04
1690,21,44,20,low,2005-04-06
1691,28,63,0,low,2004-04-30
1692,36,64,0,very low,2004-12-27
1693,26,73,380,low,2004-06-27
1694,33,57,508,high,2005-07-15
1695,28,59,456,high,2004-04-09
1696,23,45,154,low,2005-01-30
1697,20,69,161,low,2005-07-01
1698,23,49,451,high,2005-07-26
1699,34,50,18,very low,2004-08-21
1700,24,46,189,low,2005-12-11
1701,34,73,42,very low,2004-03-22
1702,39,44,161,very low,2005-12-03
1703,30,74,0,low,2005-01-31
1704,39,65,466,medium,2004-12-13
1705,24,66,377,low,2004-09-24
1706,25,62,286,low,2004-12-04
1707,35,74,0,very low,2005-09-15
1708,38,49,336,low,2004-07-02
1709,36,71,553,high,2004-04-27
1710,26,70,240,low,2004-11-19
1711,30,36,397,very high,2005-10-25
1712,34,43,35,very low,2005-10-01
1713,35,47,478,medium,2004-03-15
1714,40,65,376,low,2005-09-21
1715,22,44,0,low,2005-11-19
1716,33,37,491,medium,2005-10-22
1717,39,61,198,very low,2005-04-10
1718,27,38,133,low,2005-02-10
1719,31,51,268,low,2004-12-24
1720,28,68,2,low,2005-01-07
1721,22,60,539,very high,2005-02-09
1722,26,59,180,low,2005-07-17
1723,21,55,49,low,2005-09-12
1724,37,71,0,very low,2005-10-06
1725,35,62,0,very low,2004-12-18
1726,35,45,6,very low,2005-10-19
1727,28,50,583,high,2005-09-08
1728,23,66,0,low,2005-09-06
1729,20,58,538,very high,2005-08-28
1730,36,44,275,low,2004-06-27
1731,34,45,484,medium,2005-07-28
1732,35,67,582,high,2005-03-05
1733,40,58,156,very low,2004-02-03
1734,25,42,15,low,2004-06-13
1735,27,69,67,low,2005-12-10
1736,36,37,311,low,2005-11-05
1737,29,44,569,high,2004-11-19
1738,34,43,458,medium,2004-08-10
1739,34,37,243,low,2004-08-28
1740,20,72,286,low,2004-08-22
1741,32,48,0,very low,2004-04-04
1742,37,64,460,medium,2004-02-11
1743,39,46,0,very low,2004-01-30
1744,34,64,283,low,2004-08-30
1745,38,57,454,medium,2005-01-10
1746,39,59,507,high,2004-03-09
1747,39,58,507,high,2004-08-12
1748,38,43,299,low,2004-08-30
1749,29,58,349,very high,2004-04-08
1750,23,55,42,low,2005-12-08
1751,31,50,448,medium,2004-06-10
1752,23,64,454,high,2005-08-13
1753,28,64,568,high,2004-12-30
1754,20,66,106,low,2005-07-21
1755,22,51,112,low,2004-07-11
1756,29,35,0,low,2005-09-09
1757,32,57,0,very low,2005-09-26
1758,20,38,0,low,2004-03-28
1759,22,45,27,low,2004-03-31
1760,22,52,173,low,2004-12-02
1761,34,58,279,low,2004-02-06
1762,38,65,117,very low,2004-11-05
1763,39,74,105,very low,2004-10-01
1764,22,37,265,low,2005-09-15
1765,40,47,586,high,2005-09-02
1766,30,52,259,low,2004-09-11
1767,38,66,204,low,2005-09-20
1768,25,75,224,low,2004-03-26
1769,39,47,577,high,2005-10-19
1770,30,62,3,low,2005-02-03
1771,31,58,438,medium,2004-03-22
1772,25,45,176,low,2005-05-26
1773,40,45,255,low,2004-09-08
1774,40,66,244,low,2005-07-04
1775,21,60,582,very high,2004-03-17
1776,30,38,0,low,2005-08-17
1777,38,35,437,medium,2004-08-13
1778,31,66,163,low,2005-10-07
1779,28,59,250,low,2005-02-11
1780,23,46,0,low,2004-08-10
1781,27,71,43,low,2005-12-06
1782,23,41,451,high,2004-12-09
1783,29,36,456,medium,2005-01-16
1784,24,68,567,very high,2005-06-23
1785,21,44,198,low,2004-05-28
1786,37,37,340,low,2004-08-19
1787,37,73,185,very low,2005-02-02
1788,29,71,101,low,2004-02-18
1789,38,65,0,very low,2005-07-07
1790,35,35,99,very low,2005-03-28
1791,29,37,93,low,2004-09-01
1792,24,63,499,high,2005-08-20
1793,20,66,402,high,2005-04-23
1794,34,69,292,low,2004-07-12
1795,33,42,203,low,2004-01-25
1796,25,46,0,low,2005-09-17
1797,29,36,156,low,2004-06-13
1798,34,62,217,low,2005-06-24
1799,34,63,204,low,2005-04-01
1800,37,66,319,low,2005-09-12
1801,31,69,460,medium,2004-01-16
1802,20,56,359,low,2004-05-12
1803,39,72,290,low,2004-08-16
1804,40,75,129,very low,2005-04-09
1805,20,57,83,low,2004-09-17
1806,22,43,219,low,2005-04-15
1807,23,71,279,low,2005-08-05
1808,27,64,311,low,2005-07-02
1809,32,54,451,medium,2004-08-03
1810,24,72,575,very high,2004-09-18
1811,21,47,523,very high,2005-04-22
1812,35,47,0,very low,2004-08-03
1813,24,51,61,low,2005-09-29
1814,31,46,0,low,2005-05-01
1815,39,36,85,very low,2004-09-21
1816,23,47,476,high,2005-07-18
1817,21,56,107,low,2004-05-15
1818,31,41,48,low,2005-10-20
1819,27,43,21,low,2005-05-30
1820,22,56,486,high,2005-08-30
1821,20,45,195,low,2005-08-15
1822,20,57,220,low,2005-02-28
1823,29,44,114,low,2004-11-23
1824,20,56,303,low,2005-01-18
1825,36,65,357,low,2004-02-24
1826,33,70,409,medium,2005-01-19
1827,30,52,264,low,2004-01-29
1828,40,49,568,high,2004-10-25
1829,32,38,446,medium,2005-11-11
1830,40,64,13,very low,2004-10-09
1831,29,57,50,low,2004-05-27
1832,39,72,440,medium,2004-07-13
1833,22,35,582,very high,2004-07-25
1834,34,75,550,high,2005-06-28
1835,23,56,589,very high,2004-10-22
1836,26,52,315,low,2005-04-20
1837,40,46,533,high,2005-02-10
1838,24,41,0,low,2005-11-24
1839,34,59,470,medium,2004-11-03
1840,31,38,222,low,2004-09-05
1841,28,35,311,low,2004-07-15
1842,27,57,0,low,2005-07-18
1843,34,38,308,low,2004-07-26
1844,20,73,185,low,2004-01-27
1845,31,63,474,medium,2005-07-27
1846,29,39,259,low,2004-02-07
1847,39,66,248,low,2005-04-03
1848,29,41,323,very high,2004-11-05
1849,37,54,87,very low,2004-04-30
1850,33,57,120,very low,2004-09-17
1851,29,69,597,high,2005-08-26
1852,33,72,0,very low,2004-01-26
1853,22,42,209,low,2004-02-28
1854,38,38,477,medium,2005-07-06
1855,38,59,218,low,2004-03-02
1856,24,55,600,very high,2004-10-28
1857,27,52,45,low,2005-03-18
1858,29,70,296,low,2004-06-24
1859,23,46,241,low,2005-11-19
1860,23,49,504,very high,2004-07-02
1861,37,42,122,very low,2004-06-21
1862,25,54,0,low,2004-12-20
1863,39,74,593,high,2004-11-24
1864,21,35,299,low,2005-09-02
1865,33,40,243,low,2005-10-12
1866,26,64,545,high,2004-11-18
1867,27,65,221,low,2005-01-20
1868,34,75,163,very low,2004-10-18
1869,39,60,0,very low,2005-04-13
1870,22,70,404,high,2005-04-17
1871,40,74,495,medium,2004-11-27
1872,25,39,226,low,2004-01-19
1873,33,47,0,very low,2005-05-04
1874,28,64,0,low,2004-06-14
1875,22,50,62,low,2005-01-12
1876,27,73,171,low,2004-04-01
1877,29,37,194,low,2005-03-16
1878,27,67,300,low,2005-08-24
1879,38,65,237,low,2004-08-22
1880,40,75,209,low,2004-12-06
1881,38,56,368,low,2004-09-04
1882,39,51,395,low,2005-11-23
1883,36,73,462,medium,2004-11-28
1884,25,57,126,low,2005-10-14
1885,27,54,342,low,2005-03-31
1886,26,55,269,low,2004-05-24
1887,36,48,0,very low,2005-03-07
1888,25,39,111,low,2005-09-23
1889,36,65,289,low,2005-01-30
1890,29,74,214,low,2004-09-10
1891,23,70,278,low,2004-05-13
1892,40,75,489,medium,2005-05-11
1893,20,65,470,high,2005-09-02
1894,26,35,509,high,2005-06-14
1895,21,66,349,low,2004-06-12
1896,39,67,0,very low,2004-11-12
1897,24,73,414,high,2004-02-04
1898,28,53,36,low,2005-11-13
1899,40,43,53,very low,2004-09-16
1900,33,35,283,low,2005-01-23
1901,36,37,355,low,2005-11-30
1902,33,44,29,very low,2005-06-10
1903,29,75,60,low,2004-01-10
1904,36,61,371,low,2004-05-31
1905,23,64,589,very high,2004-08-31
1906,35,74,500,high,2004-06-10
1907,22,73,24,low,2005-04-12
1908,37,42,75,very low,2005-08-02
1909,40,52,374,low,2004-08-03
1910,28,42,0,low,2004-12-22
1911,40,39,0,very low,2004-11-26
1912,22,63,456,high,2004-10-31
1913,40,68,523,high,2005-04-27
1914,27,64,161,low,2005-07-31
1915,33,49,599,high,2004-09-13
1916,27,40,118,low,2005-02-02
1917,23,54,449,high,2004-06-16
1918,39,63,234,low,2004-11-22
1919,33,59,306,low,2005-05-25
1920,32,37,397,low,2005-04-28
1921,33,66,403,medium,2005-04-26
1922,27,75,149,low,2004-02-18
1923,34,59,368,low,2005-11-18
1924,40,39,409,medium,2004-10-23
1925,24,71,462,high,2005-12-03
1926,33,46,299,low,2005-10-25
1927,27,71,463,high,2005-12-08
1928,27,64,487,high,2005-09-20
1929,22,46,0,low,2004-12-14
1930,37,43,77,very low,2005-02-02
1931,36,41,492,medium,2004-07-01
1932,25,50,254,low,2005-09-06
1933,34,69,372,low,2004-03-16
1934,37,50,598,high,2004-01-12
1935,32,49,271,low,2005-05-03
1936,35,37,540,high,2005-09-07
1937,39,63,415,medium,2004-08-30
1938,28,65,252,low,2004-01-02
1939,33,58,599,high,2004-02-24
1940,37,52,203,low,2005-10-20
1941,29,60,90,low,2004-10-23
1942,37,43,140,very low,2004-12-27
1943,30,37,95,low,2005-09-16
1944,22,42,576,very high,2004-10-27
1945,33,71,0,very low,2004-01-30
1946,31,43,169,low,2004-08-01
1947,29,44,311,very high,2005-11-20
1948,37,56,466,medium,2005-12-10
1949,32,57,518,high,2004-03-04
1950,33,62,585,high,2004-11-10
1951,31,57,299,very high,2005-10-01
1952,24,51,401,high,2004-06-14
1953,27,49,241,low,2005-02-09
1954,22,75,440,high,2005-08-23
1955,35,57,498,medium,2004-11-06
1956,34,48,0,very low,2005-10-26
1957,34,42,413,medium,2004-03-17
1958,29,73,143,low,2005-05-03
1959,26,53,261,low,2004-04-18
1960,32,55,37,very low,2004-06-17
1961,32,58,170,very low,2004-01-01
1962,23,62,411,high,2004-10-02
1963,20,58,224,low,2004-09-17
1964,40,47,311,low,2004-12-13
1965,22,65,483,high,2005-12-02
1966,38,44,415,medium,2005-03-16
1967,39,61,575,high,2004-12-23
1968,23,41,157,low,2005-12-07
1969,37,71,12,very low,2005-05-24
1970,25,43,459,high,2004-12-29
1971,33,75,562,high,2005-05-14
1972,31,40,249,low,2004-07-22
1973,35,51,171,very low,2004-06-27
1974,39,43,256,low,2005-11-10
1975,29,36,91,low,2004-07-13
1976,22,43,0,low,2005-04-02
1977,25,58,144,low,2005-10-26
1978,27,59,4,low,2004-06-26
1979,20,42,357,low,2005-11-24
1980,25,40,491,high,2004-12-21
1981,34,58,0,very low,2005-01-18
1982,20,44,259,low,2005-06-16
1983,35,44,171,very low,2005-10-11
1984,39,56,592,high,2005-09-27
1985,29,66,53,low,2005-06-09
1986,38,46,575,high,2005-10-27
1987,34,48,526,high,2005-10-19
1988,33,51,301,low,2005-04-24
1989,20,61,450,high,2005-04-13
1990,21,51,486,high,2005-12-10
1991,35,47,0,very low,2004-10-14
1992,24,37,94,low,2005-06-01
1993,21,74,524,very high,2005-11-25
1994,36,44,180,very low,2005-08-05
1995,26,35,597,high,2004-05-04
1996,36,54,11,very low,2004-02-21
1997,32,51,31,very low,2005-02-14
1998,30,38,122,low,2004-12-12
1999,37,51,235,low,2004-10-09
2000,31,70,491,medium,2005-10-20
2001,36,41,530,high,2004-05-29
2002,24,68,59,low,2005-02-27
2003,23,60,351,low,2004-06-18
2004,23,54,454,high,2005-11-20
2005,38,37,599,high,2004-02-23
2006,31,36,504,high,2005-01-01
2007,35,37,473,medium,2004-12-09
2008,22,45,502,very high,2004-07-15
2009,23,46,596,very high,2004-05-06
2010,24,53,31,low,2004-09-11
2011,27,61,292,low,2005-06-27
2012,35,37,119,very low,2005-01-05
2013,27,48,501,high,2004-08-23
2014,37,51,267,low,2005-05-04
2015,21,70,255,low,2005-08-25
2016,22,65,508,very high,2004-06-07
2017,38,37,359,low,2004-01-20
2018,38,58,399,low,2005-01-05
2019,40,43,0,very low,2004-11-12
2020,27,62,437,high,2004-07-01
2021,29,42,556,high,2005-10-27
2022,37,49,113,very low,2005-01-04
2023,21,57,36,low,2005-05-15
2024,36,73,0,very low,2004-12-19
2025,24,51,289,low,2004-04-28
2026,37,70,254,low,2005-08-26
2027,25,46,380,low,2004-02-12
2028,20,46,562,very high,2004-01-19
2029,23,39,517,very high,2005-10-18
2030,24,42,0,low,2004-06-04
2031,33,71,589,high,2004-09-25
2032,30,40,355,very high,2004-05-29
2033,29,42,467,medium,2005-07-29
2034,35,40,366,low,2004-06-09
2035,33,59,515,high,2004-10-18
2036,29,68,277,low,2004-12-16
2037,28,51,447,high,2005-05-17
2038,39,56,330,low,2005-02-21
2039,22,47,40,low,2005-05-13
2040,28,48,381,low,2004-04-22
2041,24,60,0,low,2004-02-21
2042,25,52,546,high,2005-01-27
2043,26,42,541,high,2004-06-05
2044,37,54,188,very low,2004-12-29
2045,36,66,483,medium,2005-07-25
2046,21,37,338,low,2004-03-29
2047,35,53,527,high,2005-05-11
2048,20,43,243,low,2004-10-05
2049,23,71,415,high,2005-05-02
2050,20,42,425,high,2005-02-05
2051,35,57,402,medium,2004-01-07
2052,33,57,549,high,2005-09-03
2053,40,75,288,low,2005-05-11
2054,20,38,591,very high,2004-09-22
2055,34,51,329,low,2004-03-01
2056,40,58,506,high,2005-03-18
2057,23,72,589,very high,2005-07-24
2058,38,64,291,low,2004-09-13
2059,36,35,204,low,2004-07-14
2060,21,67,411,high,2004-08-27
2061,35,47,446,medium,2005-10-28
2062,25,44,8,low,2004-07-07
2063,39,72,150,very low,2005-06-23
2064,32,62,211,low,2005-01-29
2065,21,67,203,low,2004-10-26
2066,27,52,19,low,2004-07-12
2067,32,44,405,medium,2005-01-08
2068,31,59,317,very high,2004-04-01
2069,28,75,476,high,2005-03-13
2070,29,51,176,low,2004-06-03
2071,37,53,388,low,2005-10-26
2072,26,62,216,low,2005-07-04
2073,22,57,496,high,2005-08-16
2074,27,49,363,low,2005-07-21
2075,40,75,462,medium,2004-06-27
2076,31,38,267,low,2004-09-27
2077,23,62,1,low,2005-05-28
2078,40,53,159,very low,2005-01-03
2079,35,67,444,medium,2004-10-06
2080,29,68,492,medium,2004-10-06
2081,33,44,18,very low,2004-11-19
2082,31,50,466,medium,2004-10-16
2083,26,69,0,low,2004-04-24
2084,30,54,521,high,2005-09-24
2085,38,75,41,very low,2004-01-14
2086,21,65,19,low,2005-04-28
2087,34,75,422,medium,2004-04-19
2088,26,47,276,low,2005-04-05
2089,40,53,547,high,2005-05-15
2090,27,68,371,low,2005-07-25
2091,30,57,236,low,2005-03-23
2092,21,59,0,low,2004-04-20
2093,36,49,98,very low,2005-10-27
2094,26,71,50,low,2004-11-03
2095,39,63,329,low,2005-08-01
2096,26,40,420,high,2005-10-16
2097,28,66,220,low,2005-09-29
2098,27,57,294,low,2005-03-12
2099,39,73,409,medium,2005-02-26
2100,37,50,46,very low,2005-12-01
2101,27,62,44,low,2004-10-01
2102,36,56,165,very low,2005-01-28
2103,38,75,472,medium,2005-11-10
2104,36,68,322,low,2005-05-02
2105,35,59,516,high,2004-01-22
2106,22,38,599,very high,2004-06-08
2107,40,57,380,low,2004-02-02
2108,25,71,0,low,2005-07-05
2109,29,60,505,high,2004-11-10
2110,20,73,112,low,2005-01-03
2111,27,64,524,high,2004-11-25
2112,33,64,67,very low,2005-10-03
2113,21,46,0,low,2004-08-15
2114,28,69,389,low,2004-03-22
2115,37,60,424,medium,2005-01-02
2116,36,35,0,very low,2005-10-07
2117,28,51,213,low,2005-08-26
2118,27,72,158,low,2005-06-24
2119,26,51,494,high,2004-03-02
2120,35,62,139,very low,2004-05-21
2121,24,65,0,low,2005-03-02
2122,39,42,57,very low,2005-04-08
2123,30,46,192,low,2004-09-30
2124,28,71,216,low,2005-10-08
2125,39,36,362,low,2004-12-31
2126,28,61,48,low,2005-06-22
2127,39,44,259,low,2005-07-23
2128,20,55,486,high,2004-01-19
2129,37,60,370,low,2005-09-01
2130,31,46,218,low,2004-12-28
2131,29,75,74,low,2004-03-01
2132,22,47,68,low,2005-06-11
2133,28,56,392,low,2004-11-06
2134,28,68,87,low,2005-05-08
2135,30,50,496,medium,2005-08-02
2136,24,70,357,low,2004-02-14
2137,24,41,561,very high,2004-11-30
2138,39,50,586,high,2005-06-07
2139,24,58,0,low,2005-09-05
2140,22,50,535,very high,2005-06-26
2141,34,60,434,medium,2004-05-14
2142,27,61,591,high,2004-09-06
2143,38,68,25,very low,2005-10-21
2144,37,72,219,low,2005-04-29
2145,34,71,295,low,2004-07-11
2146,38,74,106,very low,2005-01-27
2147,31,57,122,low,2004-12-11
2148,33,38,525,high,2004-02-01
2149,37,37,216,low,2004-12-22
2150,31,72,151,low,2005-09-19
2151,24,54,195,low,2005-11-27
2152,33,55,90,very low,2004-03-21
2153,34,72,201,low,2004-01-27
2154,34,43,108,very low,2004-03-20
2155,39,51,185,very low,2004-02-28
2156,23,71,70,low,2005-01-08
2157,33,43,260,low,2005-06-26
2158,35,64,0,very low,2004-07-05
2159,35,49,378,low,2005-05-01
2160,22,47,225,low,2004-09-29
2161,28,61,129,low,2005-10-11
2162,36,57,497,medium,2004-08-20
2163,29,73,207,low,2004-11-26
2164,34,35,585,high,2004-01-10
2165,24,35,0,low,2005-11-04
2166,39,69,413,medium,2004-11-24
2167,21,48,253,low,2005-08-22
2168,29,58,159,low,2004-02-05
2169,26,61,588,high,2005-03-02
2170,24,47,388,low,2005-06-12
2171,38,64,360,low,2004-01-01
2172,33,38,526,high,2005-07-04
2173,37,54,7,very low,2005-05-25
2174,25,41,381,low,2005-02-28
2175,23,44,163,low,2004-04-11
2176,31,56,304,very high,2004-12-28
2177,21,68,442,high,2005-02-18
2178,21,50,122,low,2005-10-30
2179,27,38,391,low,2005-04-28
2180,22,48,278,low,2004-09-14
2181,25,51,295,low,2005-08-14
2182,26,53,569,high,2004-12-23
2183,32,44,0,very low,2005-04-08
2184,31,49,491,medium,2005-03-01
2185,36,54,373,low,2005-09-08
2186,29,44,253,low,2005-04-04
2187,29,47,546,high,2004-06-03
2188,34,38,180,very low,2005-10-01
2189,36,62,188,very low,2004-11-16
2190,28,40,112,low,2004-03-03
2191,21,38,55,low,2004-04-04
2192,29,75,0,low,2005-04-14
2193,34,44,41,very low,2004-01-29
2195,39,38,324,low,2006-01-23
2196,23,37,281,low,2007-05-07
2197,34,72,0,very low,2007-11-24
2198,35,65,283,low,2006-12-09
2199,28,35,144,low,2007-07-24
2200,37,69,113,very low,2007-08-18
2201,26,35,308,low,2007-01-29
2202,23,57,485,high,2007-09-16
2203,25,38,556,high,2006-12-09
2204,23,62,448,high,2007-07-09
2205,40,65,295,low,2007-08-13
2206,28,72,68,low,2006-05-13
2207,38,44,31,very low,2007-10-23
2208,31,47,35,low,2006-03-04
2209,34,50,0,very low,2007-03-05
2210,22,48,200,low,2007-05-21
2211,21,39,198,low,2007-02-10
2212,20,47,10,low,2007-04-06
2213,22,57,85,low,2007-05-25
2214,28,64,0,low,2007-07-17
2215,36,35,321,low,2007-09-24
2216,28,60,105,low,2006-03-23
2217,27,51,222,low,2006-03-02
2218,31,47,13,low,2006-05-14
2219,25,72,367,low,2006-06-25
2220,30,40,468,medium,2006-09-29
2221,36,47,196,very low,2006-12-29
2222,40,66,365,low,2007-04-25
2223,37,59,362,low,2007-08-31
2224,24,69,554,very high,2006-12-17
2225,30,57,269,low,2006-03-22
2226,36,44,68,very low,2007-12-01
2227,26,75,52,low,2007-04-24
2228,33,67,414,medium,2007-06-22
2229,40,65,378,low,2006-07-29
2230,29,48,100,low,2006-04-07
2231,21,51,449,high,2007-10-08
2232,31,50,118,low,2007-03-27
2233,34,60,597,high,2006-03-22
2234,32,36,508,high,2006-12-14
2235,40,73,0,very low,2006-10-19
2236,32,50,121,very low,2007-07-22
2237,33,40,0,very low,2006-11-02
2238,21,50,0,low,2006-06-01
2239,35,57,525,high,2006-12-07
2240,33,70,168,very low,2006-09-14
2241,37,73,179,very low,2006-08-30
2242,27,63,346,low,2007-08-05
2243,24,48,224,low,2006-11-22
2244,25,35,525,high,2006-08-24
2245,20,74,0,low,2007-04-29
2246,29,54,120,low,2006-12-02
2247,33,41,171,very low,2007-01-21
2248,37,64,595,high,2007-07-20
2249,30,45,73,low,2007-07-20
2250,30,38,42,low,2007-09-27
2251,36,35,1,very low,2006-02-05
2252,26,66,141,low,2006-10-28
2253,36,75,126,very low,2006-11-12
2254,38,60,549,high,2006-05-08
2255,37,57,442,medium,2007-06-10
2256,38,42,93,very low,2006-11-29
2257,21,53,490,high,2006-11-27
2258,40,59,154,very low,2006-05-30
2259,31,38,590,high,2007-07-27
2260,37,61,139,very low,2006-02-16
2261,40,35,521,high,2007-05-13
2262,35,62,91,very low,2007-03-18
2263,40,61,213,low,2006-05-12
2264,38,56,516,high,2006-04-24
2265,40,69,218,low,2006-02-03
2266,23,40,124,low,2007-08-02
2267,37,49,355,low,2006-07-18
2268,23,60,245,low,2007-12-11
2269,37,62,553,high,2007-09-16
2270,37,74,164,very low,2006-02-28
2271,20,43,71,low,2006-08-05
2272,22,45,419,high,2007-09-17
2273,27,64,299,low,2006-08-15
2274,38,37,406,medium,2006-06-05
2275,35,53,489,medium,2007-10-06
2276,34,67,0,very low,2006-12-23
2277,25,44,211,low,2006-09-30
